cluster_id,accident_count,center_latitude,center_longitude,deaths,injuries,avg_severity,predominant_hour,predominant_day,predominant_cause,radius_km,density_score,risk_category,heat_intensity
206,13,-11.38262636923077,-37.664174987692306,4,9,18.525641025641026,12,1,Acessar a via sem observar a presença dos outros veículos,4.8878058091819625,0.5222845640144216,baixo,0.3058662786442007
207,53,-29.36698877528302,-49.82951770433962,4,51,8.621161672216056,10,3,Ausência de reação do condutor,16.809234439935924,0.18691564891964552,baixo,0.10946368683765895
208,62,-8.883697461129032,-36.49385864080645,11,60,16.43548387096774,18,5,Ausência de reação do condutor,10.28393883398128,0.580745125915981,baixo,0.34010262363368265
209,19,-23.472679706315787,-54.19285956473684,1,22,14.3859649122807,15,2,Ausência de reação do condutor,6.650914691631064,0.4200318379966342,baixo,0.24598386406948605
210,16,-26.765728065,-50.327524005625,1,16,7.21875,14,4,Velocidade Incompatível,8.060928126122798,0.24250301087614967,baixo,0.14201739551057058
211,43,-17.545858257674418,-39.721268349999995,5,44,10.50110741971207,19,1,Acessar a via sem observar a presença dos outros veículos,9.187692268782689,0.5034321827066882,baixo,0.2948257308059562
212,13,-14.290008761538463,-49.14817165615385,7,21,11.725838264299803,6,0,Ingestão de álcool pelo condutor,5.4415266375685984,0.4246948677589461,baixo,0.24871468105868222
213,280,-23.409477336035714,-51.94773236339286,14,296,8.666581632653061,7,3,Reação tardia ou ineficiente do condutor,22.4257401562417,0.5556505656777035,baixo,0.32540645935247536
214,26,-15.297793586153846,-49.558468305384615,5,28,12.455128205128204,13,5,Ingestão de álcool pelo condutor,11.136206941648226,0.20797486823836728,baixo,0.12179662847135353
215,18,-29.703069645000003,-51.67796293333333,1,24,6.925925925925926,12,0,Manobra de mudança de faixa,9.328178566444608,0.20451079143628184,baixo,0.11976795607053121
216,51,-15.240840022549019,-59.319517002156864,2,51,9.599906629318394,19,3,Acessar a via sem observar a presença dos outros veículos,12.48961937631218,0.3248602307732458,baixo,0.190248375526115
217,18,-10.92601296888889,-55.21028233333333,1,16,9.842592592592592,18,6,Ausência de reação do condutor,7.775017536001667,0.29291679500321877,baixo,0.17154129417760625
218,12,-10.236003587499999,-40.20149188916667,4,14,17.341269841269842,19,2,Transitar na contramão,6.616205908031112,0.2680116047800764,baixo,0.15695603093733915
219,42,-9.914397874761905,-63.05663283761905,3,51,11.605725623582767,17,0,Acessar a via sem observar a presença dos outros veículos,10.141248866588834,0.4044492165068479,baixo,0.23685819049037857
220,40,-19.59213020025,-42.76285977875,6,42,12.150595238095239,11,5,Ausência de reação do condutor,18.376669629705944,0.11809791962592558,baixo,0.06916185865030916
221,23,-22.993912937391304,-49.90917908608696,0,20,7.101449275362319,6,3,Ingestão de álcool pelo condutor,8.446945872823182,0.31789517094464614,baixo,0.18616941727788855
222,28,-19.23035085142857,-42.31561855464286,3,45,12.321428571428571,12,0,Ausência de reação do condutor,10.982544502682188,0.23023232692076417,baixo,0.13483129678882236
223,12,-23.770850683333332,-54.2773001575,0,13,10.452380952380953,5,6,Acessar a via sem observar a presença dos outros veículos,5.974131927154911,0.32706234635358905,baixo,0.1915380037175494
224,309,-15.781016817637541,-48.18706735860842,15,330,8.670442286947141,7,5,Manobra de mudança de faixa,17.12928434603498,1.0495482482201064,baixo,0.6146484867811631
225,55,-8.360191729090909,-35.19187000872727,6,50,14.251515151515152,12,5,Ausência de reação do condutor,19.927159954209884,0.138159121301391,baixo,0.08091032974132148
226,47,-4.939620380638298,-47.468828404468084,8,51,16.365248226950353,10,5,Reação tardia ou ineficiente do condutor,10.835045969110666,0.3969654234869541,baixo,0.23247544575914592
