accident_count,deaths,injuries,avg_severity,avg_risk_score,time_dimension,time_value,fatality_rate,injury_rate,risk_rank,is_worst,is_best
1734,176,1960,11.318976288016536,105.01488132754697,day_of_month,Dia 20,10.149942329873126,113.03344867358709,27.0,0,0
1766,154,2050,10.967476612937066,105.58346270366391,day_of_month,Dia 21,8.720271800679502,116.08154020385051,18.0,0,0
1819,159,2125,10.913393590809406,106.44540762716225,day_of_month,Dia 22,8.74106652006597,116.82242990654206,6.0,0,0
1721,163,1941,10.90325555305856,105.26180720201744,day_of_month,Dia 23,9.4712376525276,112.78326554328879,24.0,0,0
1768,146,1964,10.213219663552627,106.58419863786084,day_of_month,Dia 24,8.257918552036198,111.08597285067874,3.0,1,0
1679,153,1936,10.69951296965803,106.47278696132865,day_of_month,Dia 25,9.112567004169149,115.30673019654556,4.0,1,0
1788,134,2005,9.93407860921168,105.87348893745587,day_of_month,Dia 26,7.4944071588366885,112.13646532438479,13.0,0,0
1750,145,2029,10.248847905595806,105.99065685630566,day_of_month,Dia 27,8.285714285714285,115.94285714285715,12.0,0,0
1747,146,1927,10.771783568463592,105.67652745662363,day_of_month,Dia 28,8.35718374356039,110.30337721808816,15.0,0,0
1466,99,1670,9.78943309229803,105.383232097665,day_of_month,Dia 29,6.753069577080491,113.91541609822646,23.0,0,0
1583,143,1711,10.479949313780226,105.62483717428742,day_of_month,Dia 30,9.033480732785849,108.08591282375237,17.0,0,0
967,86,1102,11.306104080147513,106.38999219247182,day_of_month,Dia 31,8.89348500517063,113.9607032057911,8.0,0,0
5525,418,6912,10.155051312519818,105.65285736747794,month,janeiro,7.5656108597285066,125.10407239819004,6.0,0,0
5284,412,5968,10.487708158341826,105.53797273215866,month,fevereiro,7.797123391370174,112.9447388342165,8.0,0,0
5959,462,6783,10.448293837282524,105.67613699597786,month,março,7.752978687699279,113.82782346031213,5.0,0,0
5784,495,6674,10.301225903862974,105.60669141509585,month,abril,8.558091286307054,115.38727524204701,7.0,0,0
6094,574,6831,11.196589076082807,105.33446803872344,month,maio,9.419100754840827,112.09386281588448,9.0,0,1
6118,528,6916,10.552044057707901,105.92472714417966,month,junho,8.630271330500165,113.04347826086956,3.0,0,0
6237,536,7128,10.517004820864464,106.08333823106256,month,julho,8.593875260541928,114.28571428571428,1.0,1,0
6233,551,6996,10.572769823308171,106.02061139084904,month,agosto,8.840044922188351,112.24129632600675,2.0,0,0
5979,497,6832,10.456685657868176,105.81615200156901,month,setembro,8.312426827228633,114.26659976584712,4.0,0,0
