highway,km_start,km_end,segment_id,accident_count,state,primary_city,deaths,injuries,center_latitude,center_longitude,avg_severity,top_cause,top_accident_type,top_weather,avg_hour,accidents_per_km,deaths_per_km,risk_score,danger_rank,risk_category,segment_label
392,100.0,110.0,BR392_km100,8,RS,MORRO REDONDO,1,6,-31.52723885625,-52.55997635125,10.0,Condutor deixou de manter distância do veículo da frente,Saída de leito carroçável,Céu Claro,13.5,0.8,0.1,61.29315168625989,2058.0,alto,BR-392 km 100-110 (RS)
392,110.0,120.0,BR392_km110,12,RS,CANGUCU,1,7,-31.4328085325,-52.658259469166666,3.944444444444444,Ausência de reação do condutor,Colisão com objeto,Céu Claro,10.916666666666666,1.2,0.1,51.227150647016835,2295.0,medio,BR-392 km 110-120 (RS)
392,120.0,130.0,BR392_km120,7,RS,CANGUCU,1,7,-31.384878884285715,-52.70565551,18.833333333333332,Ausência de reação do condutor,Saída de leito carroçável,Céu Claro,14.142857142857142,0.7,0.1,90.76383287196333,1229.0,extremo,BR-392 km 120-130 (RS)
392,130.0,140.0,BR392_km130,4,RS,CANGUCU,1,2,-31.2839390125,-52.7861097725,15.625,Condutor Dormindo,Colisão transversal,Céu Claro,10.25,0.4,0.1,69.77361267103868,1798.0,alto,BR-392 km 130-140 (RS)
392,140.0,150.0,BR392_km140,3,RS,CANGUCU,0,3,-31.22111191,-52.81709705,10.0,Ausência de reação do condutor,Colisão transversal,Chuva,13.0,0.3,0.0,46.00083589876436,2415.5,medio,BR-392 km 140-150 (RS)
392,150.0,160.0,BR392_km150,2,RS,CANGUCU,0,2,-31.14757131,-52.87838936,5.0,Reação tardia ou ineficiente do condutor,Capotamento,Céu Claro,15.0,0.2,0.0,24.52964952813173,2948.0,baixo,BR-392 km 150-160 (RS)
392,160.0,170.0,BR392_km160,2,RS,CANGUCU,0,1,-31.309771545,-52.769741055,1.6666666666666665,Animais na Pista,Atropelamento de Animal,Chuva,11.5,0.2,0.0,12.254500719376054,3143.5,baixo,BR-392 km 160-170 (RS)
392,190.0,200.0,BR392_km190,2,RS,SANTANA DA BOA VISTA,0,3,-30.896265829999997,-53.1152843,20.0,Ausência de reação do condutor,Saída de leito carroçável,Chuva,14.5,0.2,0.0,79.76781916753228,1496.5,alto,BR-392 km 190-200 (RS)
392,200.0,210.0,BR392_km200,3,RS,SANTANA DA BOA VISTA,0,3,-30.831317196666664,-53.174725773333336,10.0,Velocidade Incompatível,Colisão frontal,Chuva,8.333333333333334,0.3,0.0,46.00083589876436,2415.5,medio,BR-392 km 200-210 (RS)
392,210.0,220.0,BR392_km210,2,RS,SANTANA DA BOA VISTA,1,2,-30.76809849,-53.19772105,13.5,Ausência de reação do condutor,Colisão lateral mesmo sentido,Céu Claro,21.0,0.2,0.1,55.83127899045871,2200.0,medio,BR-392 km 210-220 (RS)
392,220.0,230.0,BR392_km220,1,RS,CACAPAVA DO SUL,0,1,-30.708,-53.234,5.0,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Chuva,7.0,0.1,0.0,21.471186370632626,3015.0,baixo,BR-392 km 220-230 (RS)
392,230.0,240.0,BR392_km230,2,RS,CACAPAVA DO SUL,0,1,-30.633011,-53.32156678,2.5,Ausência de reação do condutor,Colisão com objeto,Céu Claro,11.5,0.2,0.0,15.323287921564972,3113.0,baixo,BR-392 km 230-240 (RS)
392,240.0,250.0,BR392_km240,1,RS,CACAPAVA DO SUL,0,0,-30.583661,-53.392438,0.0,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Céu Claro,22.0,0.1,0.0,3.0584631574991072,3215.5,baixo,BR-392 km 240-250 (RS)
392,250.0,260.0,BR392_km250,1,RS,CACAPAVA DO SUL,0,2,-30.5012994,-53.47595137,10.0,Avarias e/ou desgaste excessivo no pneu,Tombamento,Céu Claro,0.0,0.1,0.0,39.88390958376614,2575.5,baixo,BR-392 km 250-260 (RS)
392,260.0,270.0,BR392_km260,1,RS,CACAPAVA DO SUL,0,0,-30.436503,-53.499055,0.0,Ausência de reação do condutor,Colisão traseira,Céu Claro,4.0,0.1,0.0,3.0584631574991072,3215.5,baixo,BR-392 km 260-270 (RS)
392,270.0,280.0,BR392_km270,3,RS,SAO SEPE,0,6,-30.351515526666663,-53.521783946666666,12.5,Problema com o freio,Colisão frontal,Céu Claro,10.666666666666666,0.3,0.0,55.20719750533112,2208.5,medio,BR-392 km 270-280 (RS)
392,280.0,290.0,BR392_km280,4,RS,SAO SEPE,0,5,-30.2835553225,-53.5405894625,5.0,Demais falhas na via,Colisão transversal,Céu Claro,16.5,0.4,0.0,30.646575843129945,2856.0,baixo,BR-392 km 280-290 (RS)
392,290.0,300.0,BR392_km290,2,RS,SAO SEPE,0,1,-30.16033442,-53.58661845,2.5,Desrespeitar a preferência no cruzamento,Colisão lateral mesmo sentido,Céu Claro,15.0,0.2,0.0,15.323287921564972,3113.0,baixo,BR-392 km 290-300 (RS)
